SENSOR UNIQUE,ADDRESS
CM/CURRENT/CM183000001/CA,3057
CM/CURRENT/CM183000001/CA1,3009
CM/CURRENT/CM183000001/CA2,3025
CM/CURRENT/CM183000001/CA3,3041
CM/VOLTAGE/CM183000001/VLL,3059
CM/VOLTAGE/CM183000001/VLN,3061
CM/VOLTAGE/CM183000001/V12,3011
CM/VOLTAGE/CM183000001/V23,3027
CM/VOLTAGE/CM183000001/V31,3043
CM/VOLTAGE/CM183000001/V1,3013
CM/VOLTAGE/CM183000001/V2,3029
CM/VOLTAGE/CM183000001/V3,3045
CM/POWER/CM183000001/PF0,3055
CM/POWER/CM183000001/PF1,3007
CM/POWER/CM183000001/PF2,3023
CM/POWER/CM183000001/PF3,3039
CM/FREQUENCY/CM183000001/F0,3063
